Date : 2025-04-27 13:34:14
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\backend
Total : 6673 files,  1737671 codes, 212150 comments, 278537 blanks, all 2228358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-flash.css                                                           | CSS              |         71 |          1 |          6 |         78 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-flat-top.css                                                        | CSS              |         33 |          1 |          8 |         42 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-loading-bar.css                                                     | CSS              |        181 |          1 |         17 |        199 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-mac-osx.css                                                         | CSS              |         75 |          1 |         12 |         88 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-material.css                                                        | CSS              |        283 |          1 |         10 |        294 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\red\pace-theme-minimal.css                                                         | CSS              |         19 |          1 |          4 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-barber-shop.css                                                  | CSS              |         73 |          1 |         10 |         84 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-big-counter.css                                                  | CSS              |         34 |          1 |          6 |         41 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-bounce.css                                                       | CSS              |        221 |          1 |          9 |        231 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-center-atom.css                                                  | CSS              |        116 |          1 |         15 |        132 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-center-circle.css                                                | CSS              |         76 |          1 |         14 |         91 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-center-radar.css                                                 | CSS              |         69 |          1 |         13 |         83 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-center-simple.css                                                | CSS              |         44 |          1 |          7 |         52 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-corner-indicator.css                                             | CSS              |         65 |          1 |          8 |         74 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-fill-left.css                                                    | CSS              |         19 |          1 |          3 |         23 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-flash.css                                                        | CSS              |         71 |          1 |          6 |         78 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-flat-top.css                                                     | CSS              |         33 |          1 |          8 |         42 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-loading-bar.css                                                  | CSS              |        181 |          1 |         17 |        199 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-mac-osx.css                                                      | CSS              |         75 |          1 |         12 |         88 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-material.css                                                     | CSS              |        283 |          1 |         10 |        294 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\silver\pace-theme-minimal.css                                                      | CSS              |         19 |          1 |          4 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-barber-shop.css                                                   | CSS              |         73 |          1 |         10 |         84 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-big-counter.css                                                   | CSS              |         34 |          1 |          6 |         41 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-bounce.css                                                        | CSS              |        221 |          1 |          9 |        231 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-center-atom.css                                                   | CSS              |        116 |          1 |         15 |        132 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-center-circle.css                                                 | CSS              |         76 |          1 |         14 |         91 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-center-radar.css                                                  | CSS              |         69 |          1 |         13 |         83 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-center-simple.css                                                 | CSS              |         44 |          1 |          7 |         52 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-corner-indicator.css                                              | CSS              |         65 |          1 |          8 |         74 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-fill-left.css                                                     | CSS              |         19 |          1 |          3 |         23 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-flash.css                                                         | CSS              |         71 |          1 |          6 |         78 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-flat-top.css                                                      | CSS              |         33 |          1 |          8 |         42 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-loading-bar.css                                                   | CSS              |        181 |          1 |         17 |        199 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-mac-osx.css                                                       | CSS              |         75 |          1 |         12 |         88 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-material.css                                                      | CSS              |        283 |          1 |         10 |        294 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\white\pace-theme-minimal.css                                                       | CSS              |         19 |          1 |          4 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-barber-shop.css                                                  | CSS              |         73 |          1 |         10 |         84 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-big-counter.css                                                  | CSS              |         34 |          1 |          6 |         41 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-bounce.css                                                       | CSS              |        221 |          1 |          9 |        231 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-center-atom.css                                                  | CSS              |        116 |          1 |         15 |        132 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-center-circle.css                                                | CSS              |         76 |          1 |         14 |         91 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-center-radar.css                                                 | CSS              |         69 |          1 |         13 |         83 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-center-simple.css                                                | CSS              |         44 |          1 |          7 |         52 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-corner-indicator.css                                             | CSS              |         65 |          1 |          8 |         74 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-fill-left.css                                                    | CSS              |         19 |          1 |          3 |         23 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-flash.css                                                        | CSS              |         71 |          1 |          6 |         78 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-flat-top.css                                                     | CSS              |         33 |          1 |          8 |         42 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-loading-bar.css                                                  | CSS              |        181 |          1 |         17 |        199 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-mac-osx.css                                                      | CSS              |         75 |          1 |         12 |         88 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-material.css                                                     | CSS              |        283 |          1 |         10 |        294 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pace-progress\themes\yellow\pace-theme-minimal.css                                                      | CSS              |         19 |          1 |          4 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pdfmake\pdfmake.js                                                                                      | JavaScript       |     49,264 |      9,016 |     11,262 |     69,542 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pdfmake\pdfmake.min.js                                                                                  | JavaScript       |          6 |         32 |          0 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\pdfmake\vfs_fonts.js                                                                                    | JavaScript       |          6 |          0 |          0 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\esm\popper-utils.js                                                                              | JavaScript       |        616 |        360 |        138 |      1,114 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\esm\popper-utils.min.js                                                                          | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\esm\popper.js                                                                                    | JavaScript       |      1,241 |      1,051 |        325 |      2,617 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\esm\popper.min.js                                                                                | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\popper-utils.js                                                                                  | JavaScript       |        579 |        360 |        124 |      1,063 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\popper-utils.min.js                                                                              | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\popper.js                                                                                        | JavaScript       |      1,125 |      1,051 |        287 |      2,463 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\popper.min.js                                                                                    | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\umd\popper-utils.js                                                                              | JavaScript       |        651 |        360 |        141 |      1,152 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\umd\popper-utils.min.js                                                                          | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\umd\popper.js                                                                                    | JavaScript       |      1,247 |      1,051 |        327 |      2,625 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\popper\umd\popper.min.js                                                                                | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\Gruntfile.js                                                                                    | JavaScript       |         62 |          5 |          6 |         73 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\bower.json                                                                                      | JSON             |         30 |          0 |          1 |         31 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\raphael.amd.js                                                                              | JavaScript       |          3 |          0 |          2 |          5 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\raphael.core.js                                                                             | JavaScript       |      3,459 |      1,882 |         76 |      5,417 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\raphael.svg.js                                                                              | JavaScript       |      1,110 |        294 |         21 |      1,425 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\raphael.vml.js                                                                              | JavaScript       |        978 |         10 |         12 |      1,000 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\raphaelTest.html                                                                            | HTML             |         22 |          9 |          9 |         40 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\test\index.html                                                                             | HTML             |         28 |          0 |          3 |         31 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\test\svg\dom.js                                                                             | JavaScript       |        195 |         26 |         95 |        316 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\dev\test\vml\dom.js                                                                             | JavaScript       |          3 |          0 |          2 |          5 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\raphael.js                                                                                      | JavaScript       |      5,912 |      2,396 |        130 |      8,438 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\raphael.min.js                                                                                  | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\raphael.no-deps.js                                                                              | JavaScript       |      5,652 |      2,231 |        128 |      8,011 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\raphael.no-deps.min.js                                                                          | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\raphael\webpack.config.js                                                                               | JavaScript       |         32 |          0 |          8 |         40 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2-bootstrap4-theme\select2-bootstrap4.css                                                         | CSS              |        143 |          0 |         21 |        164 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2-bootstrap4-theme\select2-bootstrap4.min.css                                                     | CSS              |          1 |          0 |          0 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\css\select2.css                                                                                 | CSS              |        425 |          0 |         57 |        482 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\css\select2.min.css                                                                             | CSS              |          1 |          0 |          1 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\af.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ar.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\az.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\bg.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\bn.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\bs.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ca.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\cs.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\da.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\de.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\dsb.js                                                                                  | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\el.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\en.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\es.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\et.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\eu.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\fa.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\fi.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\fr.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\gl.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\he.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\hi.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\hr.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\hsb.js                                                                                  | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\hu.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\hy.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\id.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\is.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\it.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ja.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ka.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\km.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ko.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\lt.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\lv.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\mk.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ms.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\nb.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ne.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\nl.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\pl.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ps.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\pt-BR.js                                                                                | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\pt.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ro.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\ru.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sk.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sl.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sq.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sr-Cyrl.js                                                                              | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sr.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\sv.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\th.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\tk.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\tr.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\uk.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\vi.js                                                                                   | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\zh-CN.js                                                                                | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\i18n\zh-TW.js                                                                                | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\select2.full.js                                                                              | JavaScript       |      5,102 |        384 |      1,335 |      6,821 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\select2.full.min.js                                                                          | JavaScript       |          1 |          1 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\select2.js                                                                                   | JavaScript       |      4,591 |        332 |      1,186 |      6,109 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\select2\js\select2.min.js                                                                               | JavaScript       |          1 |          1 |          0 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\sparklines\sparkline.js                                                                                 | JavaScript       |        172 |          6 |         33 |        211 |
| c:\Users\gsam9\Desktop\projects\GoTrip\backend\goTrip\static\admin-lte\plugins\summernote\lang\summernote-ar-AR.js                                                                     | JavaScript       |        241 |         29 |          4 |        274 |
